episode,global_step,epsilon,episode_return,moving_average_return,loss,eval_average_return,eval_success_rate,eval_average_coins,eval_death_rate,eval_wall_hit_count,eval_average_survival_steps,model_type,encoder_loaded,expert_replay
1,300,0.99525,-2.5722487735748203,-2.5722487735748203,0.0,-1.499214408874507,0.0,0.0,0.0,0.0,300.0,cnn,False,True
50,15000,0.7625,-1.791366405487056,-2.3744575624465902,0.0028104905142390633,-1.4749311656951902,0.0,0.0,0.0,0.0,300.0,cnn,False,True
100,30000,0.525,-2.720709056854249,-2.237598555123802,0.003340047894162126,-5.093492335001617,0.0,0.0,0.0,36.6,300.0,cnn,False,True
150,44907,0.2889725000000001,-3.010833549499503,-2.0102521095275843,0.0054231369501212615,-4.825133783340451,0.0,0.0,0.0,34.0,300.0,cnn,False,True
200,59462,0.05851833333333334,-1.5147224044799754,-2.196834343743321,0.006653082455741242,-1.5124280967712385,0.0,0.0,0.0,0.0,300.0,cnn,False,True
250,74462,0.050000000000000044,-1.6805514717101964,-2.282237020170685,0.009327863131184132,-1.5215717754363947,0.0,0.0,0.0,0.0,300.0,cnn,False,True
