global_step,episode_count,replay_size,epsilon,loss,mean_reward_100,expert_action_loss,expert_bc_weight,expert_replay_size,action_counts,connection_status
6999,24,6999,0.8891825,0.001339438199356664,-6.08129620742208,0.0,0.0,0,"{""0"": 1229, ""1"": 1092, ""2"": 1115, ""3"": 1101, ""4"": 1396, ""5"": 1066}",connected
7099,24,7099,0.8875991666666667,0.0016421546021592804,-6.08129620742208,0.0,0.0,0,"{""0"": 1244, ""1"": 1109, ""2"": 1131, ""3"": 1114, ""4"": 1419, ""5"": 1082}",connected
7199,26,7199,0.8860158333333333,0.0016646807108190841,-5.938099450897425,0.0,0.0,0,"{""0"": 1264, ""1"": 1122, ""2"": 1150, ""3"": 1128, ""4"": 1438, ""5"": 1097}",connected
7299,26,7299,0.8844325,0.0016742827606503852,-5.938099450897425,0.0,0.0,0,"{""0"": 1289, ""1"": 1138, ""2"": 1162, ""3"": 1142, ""4"": 1462, ""5"": 1106}",connected
7399,26,7399,0.8828491666666667,0.00169236098008696,-5.938099450897425,0.0,0.0,0,"{""0"": 1303, ""1"": 1153, ""2"": 1170, ""3"": 1158, ""4"": 1488, ""5"": 1127}",connected
7499,26,7499,0.8812658333333333,0.0015185358055168762,-5.938099450897425,0.0,0.0,0,"{""0"": 1325, ""1"": 1167, ""2"": 1176, ""3"": 1175, ""4"": 1518, ""5"": 1138}",connected
7599,28,7599,0.8796825,0.0014885871997103095,-5.838135064745854,0.0,0.0,0,"{""0"": 1343, ""1"": 1180, ""2"": 1186, ""3"": 1189, ""4"": 1547, ""5"": 1154}",connected
7699,28,7699,0.8780991666666667,0.0016147657227702438,-5.838135064745854,0.0,0.0,0,"{""0"": 1364, ""1"": 1191, ""2"": 1195, ""3"": 1204, ""4"": 1573, ""5"": 1172}",connected
7799,28,7799,0.8765158333333334,0.0015718623719294556,-5.838135064745854,0.0,0.0,0,"{""0"": 1376, ""1"": 1203, ""2"": 1214, ""3"": 1227, ""4"": 1598, ""5"": 1181}",connected
7899,29,7899,0.8749325,0.001700482776213903,-5.775110891249416,0.0,0.0,0,"{""0"": 1394, ""1"": 1209, ""2"": 1233, ""3"": 1239, ""4"": 1625, ""5"": 1199}",connected
7999,30,7999,0.8733491666666666,0.0017962582290056161,-5.756346562504769,0.0,0.0,0,"{""0"": 1412, ""1"": 1228, ""2"": 1249, ""3"": 1253, ""4"": 1644, ""5"": 1213}",connected
8099,30,8099,0.8717658333333334,0.0018808135864674114,-5.756346562504769,0.0,0.0,0,"{""0"": 1429, ""1"": 1247, ""2"": 1269, ""3"": 1265, ""4"": 1672, ""5"": 1217}",connected
8199,30,8199,0.8701825000000001,0.0020051499683177098,-5.756346562504769,0.0,0.0,0,"{""0"": 1441, ""1"": 1264, ""2"": 1290, ""3"": 1278, ""4"": 1695, ""5"": 1231}",connected
8299,32,8299,0.8685991666666667,0.0020499137876322493,-5.661606420733733,0.0,0.0,0,"{""0"": 1464, ""1"": 1278, ""2"": 1300, ""3"": 1292, ""4"": 1716, ""5"": 1249}",connected
8399,32,8399,0.8670158333333333,0.0021620598511071874,-5.661606420733733,0.0,0.0,0,"{""0"": 1476, ""1"": 1291, ""2"": 1307, ""3"": 1309, ""4"": 1753, ""5"": 1263}",connected
8499,32,8499,0.8654325,0.002058980649453588,-5.661606420733733,0.0,0.0,0,"{""0"": 1490, ""1"": 1306, ""2"": 1324, ""3"": 1317, ""4"": 1785, ""5"": 1277}",connected
8599,32,8599,0.8638491666666667,0.0020375080325175077,-5.661606420733733,0.0,0.0,0,"{""0"": 1506, ""1"": 1317, ""2"": 1342, ""3"": 1332, ""4"": 1813, ""5"": 1289}",connected
8699,34,8699,0.8622658333333333,0.001957468757755123,-5.629476801108788,0.0,0.0,0,"{""0"": 1540, ""1"": 1325, ""2"": 1344, ""3"": 1344, ""4"": 1852, ""5"": 1294}",connected
8799,34,8799,0.8606825,0.0017588026967132464,-5.629476801108788,0.0,0.0,0,"{""0"": 1563, ""1"": 1336, ""2"": 1349, ""3"": 1353, ""4"": 1888, ""5"": 1310}",connected
8899,34,8899,0.8590991666666666,0.0018011272378498687,-5.629476801108788,0.0,0.0,0,"{""0"": 1579, ""1"": 1349, ""2"": 1362, ""3"": 1365, ""4"": 1920, ""5"": 1324}",connected
8999,36,8999,0.8575158333333334,0.0017334754369221627,-5.598702593434912,0.0,0.0,0,"{""0"": 1597, ""1"": 1367, ""2"": 1371, ""3"": 1371, ""4"": 1952, ""5"": 1341}",connected
9099,36,9099,0.8559325,0.0018357397615909577,-5.598702593434912,0.0,0.0,0,"{""0"": 1617, ""1"": 1385, ""2"": 1381, ""3"": 1384, ""4"": 1978, ""5"": 1354}",connected
9199,36,9199,0.8543491666666667,0.002099274321226403,-5.598702593434912,0.0,0.0,0,"{""0"": 1633, ""1"": 1402, ""2"": 1394, ""3"": 1391, ""4"": 2008, ""5"": 1371}",connected
9299,36,9299,0.8527658333333333,0.002156993629760109,-5.598702593434912,0.0,0.0,0,"{""0"": 1659, ""1"": 1416, ""2"": 1406, ""3"": 1412, ""4"": 2025, ""5"": 1381}",connected
9399,38,9399,0.8511825,0.0022262795851565897,-5.538813030518788,0.0,0.0,0,"{""0"": 1673, ""1"": 1439, ""2"": 1425, ""3"": 1428, ""4"": 2040, ""5"": 1394}",connected
9499,38,9499,0.8495991666666667,0.0021326622104970738,-5.538813030518788,0.0,0.0,0,"{""0"": 1683, ""1"": 1457, ""2"": 1443, ""3"": 1446, ""4"": 2063, ""5"": 1407}",connected
9599,38,9599,0.8480158333333333,0.002060755657730624,-5.538813030518788,0.0,0.0,0,"{""0"": 1705, ""1"": 1466, ""2"": 1458, ""3"": 1459, ""4"": 2088, ""5"": 1423}",connected
9699,40,9699,0.8464325,0.0020806027989601714,-5.479913372616283,0.0,0.0,0,"{""0"": 1720, ""1"": 1468, ""2"": 1490, ""3"": 1472, ""4"": 2111, ""5"": 1438}",connected
9799,40,9799,0.8448491666666667,0.0020340025861514733,-5.479913372616283,0.0,0.0,0,"{""0"": 1729, ""1"": 1479, ""2"": 1503, ""3"": 1493, ""4"": 2147, ""5"": 1448}",connected
9899,40,9899,0.8432658333333334,0.002256805042270571,-5.479913372616283,0.0,0.0,0,"{""0"": 1746, ""1"": 1487, ""2"": 1511, ""3"": 1506, ""4"": 2178, ""5"": 1471}",connected
9999,40,9999,0.8416825,0.0022701514413347467,-5.479913372616283,0.0,0.0,0,"{""0"": 1776, ""1"": 1501, ""2"": 1529, ""3"": 1521, ""4"": 2194, ""5"": 1478}",connected
