global_step,episode_count,replay_size,epsilon,loss,mean_reward_100,expert_action_loss,expert_bc_weight,expert_replay_size,action_counts,connection_status
99,0,99,0.9984325,0.0,0.0,0.0,0.0,0,"{""0"": 30, ""1"": 10, ""2"": 26, ""3"": 9, ""4"": 15, ""5"": 9}",connected
199,0,199,0.9968491666666667,0.0,0.0,0.0,0.0,0,"{""0"": 54, ""1"": 31, ""2"": 38, ""3"": 21, ""4"": 28, ""5"": 27}",connected
299,0,299,0.9952658333333333,0.0,0.0,0.0,0.0,0,"{""0"": 74, ""1"": 45, ""2"": 54, ""3"": 41, ""4"": 44, ""5"": 41}",connected
399,0,399,0.9936825,0.0,0.0,0.0,0.0,0,"{""0"": 93, ""1"": 59, ""2"": 73, ""3"": 60, ""4"": 61, ""5"": 53}",connected
499,0,499,0.9920991666666666,0.0,0.0,0.0,0.0,0,"{""0"": 105, ""1"": 74, ""2"": 90, ""3"": 75, ""4"": 80, ""5"": 75}",connected
599,0,599,0.9905158333333334,0.0,0.0,0.0,0.0,0,"{""0"": 130, ""1"": 91, ""2"": 103, ""3"": 93, ""4"": 90, ""5"": 92}",connected
699,0,699,0.9889325,0.0,0.0,0.0,0.0,0,"{""0"": 153, ""1"": 109, ""2"": 120, ""3"": 110, ""4"": 100, ""5"": 107}",connected
799,2,799,0.9873491666666667,0.0,-8.31199994403869,0.0,0.0,0,"{""0"": 167, ""1"": 122, ""2"": 137, ""3"": 127, ""4"": 119, ""5"": 127}",connected
899,2,899,0.9857658333333333,0.0,-8.31199994403869,0.0,0.0,0,"{""0"": 184, ""1"": 143, ""2"": 156, ""3"": 143, ""4"": 137, ""5"": 136}",connected
999,2,999,0.9841825,0.0,-8.31199994403869,0.0,0.0,0,"{""0"": 209, ""1"": 154, ""2"": 176, ""3"": 158, ""4"": 149, ""5"": 153}",connected
1099,2,1099,0.9825991666666667,0.0,-8.31199994403869,0.0,0.0,0,"{""0"": 221, ""1"": 176, ""2"": 194, ""3"": 176, ""4"": 163, ""5"": 169}",connected
1199,2,1199,0.9810158333333333,0.0,-8.31199994403869,0.0,0.0,0,"{""0"": 233, ""1"": 195, ""2"": 214, ""3"": 194, ""4"": 180, ""5"": 183}",connected
1299,2,1299,0.9794325,0.0,-8.31199994403869,0.0,0.0,0,"{""0"": 244, ""1"": 208, ""2"": 237, ""3"": 214, ""4"": 199, ""5"": 197}",connected
1399,2,1399,0.9778491666666667,0.0,-8.31199994403869,0.0,0.0,0,"{""0"": 257, ""1"": 221, ""2"": 256, ""3"": 237, ""4"": 216, ""5"": 212}",connected
1499,2,1499,0.9762658333333334,0.0,-8.31199994403869,0.0,0.0,0,"{""0"": 273, ""1"": 237, ""2"": 286, ""3"": 253, ""4"": 228, ""5"": 222}",connected
1599,4,1599,0.9746825,0.0,-7.1539999069646,0.0,0.0,0,"{""0"": 289, ""1"": 259, ""2"": 305, ""3"": 267, ""4"": 244, ""5"": 235}",connected
1699,4,1699,0.9730991666666666,0.0,-7.1539999069646,0.0,0.0,0,"{""0"": 305, ""1"": 278, ""2"": 323, ""3"": 278, ""4"": 261, ""5"": 254}",connected
1799,4,1799,0.9715158333333334,0.0,-7.1539999069646,0.0,0.0,0,"{""0"": 325, ""1"": 290, ""2"": 336, ""3"": 295, ""4"": 278, ""5"": 275}",connected
1899,4,1899,0.9699325,0.0,-7.1539999069646,0.0,0.0,0,"{""0"": 337, ""1"": 308, ""2"": 356, ""3"": 309, ""4"": 299, ""5"": 290}",connected
1999,4,1999,0.9683491666666667,0.0,-7.1539999069646,0.0,0.0,0,"{""0"": 352, ""1"": 327, ""2"": 375, ""3"": 327, ""4"": 316, ""5"": 302}",connected
2099,4,2099,0.9667658333333333,0.0013230983982793986,-7.1539999069646,0.0,0.0,0,"{""0"": 368, ""1"": 349, ""2"": 390, ""3"": 340, ""4"": 332, ""5"": 320}",connected
2199,4,2199,0.9651825,0.0012031026207841933,-7.1539999069646,0.0,0.0,0,"{""0"": 391, ""1"": 377, ""2"": 400, ""3"": 353, ""4"": 346, ""5"": 332}",connected
2299,6,2299,0.9635991666666667,0.0011465539092508454,-7.1211665705001606,0.0,0.0,0,"{""0"": 411, ""1"": 393, ""2"": 413, ""3"": 368, ""4"": 363, ""5"": 351}",connected
2399,6,2399,0.9620158333333333,0.0012412020901683717,-7.1211665705001606,0.0,0.0,0,"{""0"": 432, ""1"": 412, ""2"": 423, ""3"": 389, ""4"": 379, ""5"": 364}",connected
2499,6,2499,0.9604325,0.0012876376556232572,-7.1211665705001606,0.0,0.0,0,"{""0"": 441, ""1"": 428, ""2"": 441, ""3"": 408, ""4"": 401, ""5"": 380}",connected
2599,6,2599,0.9588491666666666,0.001376326524768956,-7.1211665705001606,0.0,0.0,0,"{""0"": 454, ""1"": 448, ""2"": 454, ""3"": 421, ""4"": 417, ""5"": 405}",connected
2699,6,2699,0.9572658333333334,0.001457846697885543,-7.1211665705001606,0.0,0.0,0,"{""0"": 469, ""1"": 465, ""2"": 468, ""3"": 440, ""4"": 433, ""5"": 424}",connected
2799,6,2799,0.9556825,0.001412164451321587,-7.1211665705001606,0.0,0.0,0,"{""0"": 487, ""1"": 480, ""2"": 483, ""3"": 457, ""4"": 448, ""5"": 444}",connected
2899,6,2899,0.9540991666666667,0.0013371636986266823,-7.1211665705001606,0.0,0.0,0,"{""0"": 499, ""1"": 494, ""2"": 508, ""3"": 478, ""4"": 466, ""5"": 454}",connected
2999,8,2999,0.9525158333333333,0.0013463744620094075,-7.120624906907324,0.0,0.0,0,"{""0"": 518, ""1"": 510, ""2"": 524, ""3"": 491, ""4"": 489, ""5"": 467}",connected
3099,8,3099,0.9509325,0.001288654892705381,-7.120624906907324,0.0,0.0,0,"{""0"": 535, ""1"": 524, ""2"": 542, ""3"": 509, ""4"": 510, ""5"": 479}",connected
3199,8,3199,0.9493491666666667,0.001262881486909464,-7.120624906907324,0.0,0.0,0,"{""0"": 549, ""1"": 542, ""2"": 555, ""3"": 525, ""4"": 528, ""5"": 500}",connected
3299,8,3299,0.9477658333333333,0.0012719354225555436,-7.120624906907324,0.0,0.0,0,"{""0"": 568, ""1"": 561, ""2"": 566, ""3"": 544, ""4"": 548, ""5"": 512}",connected
3399,8,3399,0.9461825,0.0011670850636437535,-7.120624906907324,0.0,0.0,0,"{""0"": 578, ""1"": 572, ""2"": 585, ""3"": 561, ""4"": 573, ""5"": 530}",connected
3499,8,3499,0.9445991666666667,0.0011612982826773076,-7.120624906907324,0.0,0.0,0,"{""0"": 591, ""1"": 592, ""2"": 597, ""3"": 585, ""4"": 591, ""5"": 543}",connected
3599,8,3599,0.9430158333333334,0.0011302231729496271,-7.120624906907324,0.0,0.0,0,"{""0"": 610, ""1"": 609, ""2"": 611, ""3"": 597, ""4"": 610, ""5"": 562}",connected
3699,10,3699,0.9414325,0.0011020294821355492,-7.064199896482751,0.0,0.0,0,"{""0"": 631, ""1"": 627, ""2"": 625, ""3"": 609, ""4"": 627, ""5"": 580}",connected
3799,10,3799,0.9398491666666666,0.0011329412943450734,-7.064199896482751,0.0,0.0,0,"{""0"": 652, ""1"": 646, ""2"": 644, ""3"": 625, ""4"": 637, ""5"": 595}",connected
3899,10,3899,0.9382658333333334,0.0011783665767870844,-7.064199896482751,0.0,0.0,0,"{""0"": 668, ""1"": 665, ""2"": 663, ""3"": 636, ""4"": 654, ""5"": 613}",connected
3999,10,3999,0.9366825,0.001189430166850798,-7.064199896482751,0.0,0.0,0,"{""0"": 683, ""1"": 679, ""2"": 677, ""3"": 653, ""4"": 677, ""5"": 630}",connected
4099,10,4099,0.9350991666666667,0.0012290055042831227,-7.064199896482751,0.0,0.0,0,"{""0"": 704, ""1"": 697, ""2"": 689, ""3"": 672, ""4"": 694, ""5"": 643}",connected
4199,10,4199,0.9335158333333333,0.0011805884534260259,-7.064199896482751,0.0,0.0,0,"{""0"": 722, ""1"": 711, ""2"": 702, ""3"": 691, ""4"": 716, ""5"": 657}",connected
4299,10,4299,0.9319325,0.0010862794367130846,-7.064199896482751,0.0,0.0,0,"{""0"": 744, ""1"": 725, ""2"": 721, ""3"": 705, ""4"": 732, ""5"": 672}",connected
4399,10,4399,0.9303491666666667,0.0011325402575312182,-7.064199896482751,0.0,0.0,0,"{""0"": 759, ""1"": 738, ""2"": 744, ""3"": 721, ""4"": 746, ""5"": 691}",connected
4499,12,4499,0.9287658333333333,0.0011875110497931018,-7.015833233793576,0.0,0.0,0,"{""0"": 778, ""1"": 748, ""2"": 759, ""3"": 740, ""4"": 764, ""5"": 710}",connected
