"global_step","episode_count","replay_size","epsilon","loss","mean_reward_100","expert_action_loss","expert_bc_weight","expert_replay_size","action_counts","connection_status","idle_delta","non_idle_delta"
"91099","294","20000","0.050000000000000044","0.013555882018990814","-1.8668399451021105","0.0","0.0","0","{""0"": 15480, ""1"": 15267, ""2"": 16941, ""3"": 14179, ""4"": 19447, ""5"": 9785}","connected","100","0"
"91199","294","20000","0.050000000000000044","0.014327871589921415","-1.8668399451021105","0.0","0.0","0","{""0"": 15580, ""1"": 15267, ""2"": 16941, ""3"": 14179, ""4"": 19447, ""5"": 9785}","connected","100","0"
"91299","294","20000","0.050000000000000044","0.014638153542764485","-1.8668399451021105","0.0","0.0","0","{""0"": 15680, ""1"": 15267, ""2"": 16941, ""3"": 14179, ""4"": 19447, ""5"": 9785}","connected","100","0"
"91399","294","20000","0.050000000000000044","0.015207311683334411","-1.8668399451021105","0.0","0.0","0","{""0"": 15780, ""1"": 15267, ""2"": 16941, ""3"": 14179, ""4"": 19447, ""5"": 9785}","connected","100","0"
"93499","302","20000","0.050000000000000044","0.013453617566265166","-2.16099994903896","0.0","0.0","0","{""0"": 16572, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"93599","302","20000","0.050000000000000044","0.013705467940308153","-2.16099994903896","0.0","0.0","0","{""0"": 16672, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"93699","302","20000","0.050000000000000044","0.013163700168952346","-2.16099994903896","0.0","0.0","0","{""0"": 16772, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"93799","302","20000","0.050000000000000044","0.012289766706526279","-2.16099994903896","0.0","0.0","0","{""0"": 16872, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"93899","302","20000","0.050000000000000044","0.01245371114462614","-2.16099994903896","0.0","0.0","0","{""0"": 16972, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"93999","304","20000","0.050000000000000044","0.012359711742028594","-2.2829199489811436","0.0","0.0","0","{""0"": 17072, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"94099","304","20000","0.050000000000000044","0.011806324049830437","-2.2829199489811436","0.0","0.0","0","{""0"": 17172, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"94199","304","20000","0.050000000000000044","0.012025833451189101","-2.2829199489811436","0.0","0.0","0","{""0"": 17272, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"94299","304","20000","0.050000000000000044","0.011325945393182338","-2.2829199489811436","0.0","0.0","0","{""0"": 17372, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"94399","304","20000","0.050000000000000044","0.012135578864254058","-2.2829199489811436","0.0","0.0","0","{""0"": 17472, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"94499","304","20000","0.050000000000000044","0.012557738344185054","-2.2829199489811436","0.0","0.0","0","{""0"": 17572, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"94599","306","20000","0.050000000000000044","0.012873242003843188","-2.3340599472820758","0.0","0.0","0","{""0"": 17672, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"94699","306","20000","0.050000000000000044","0.013279453977011144","-2.3340599472820758","0.0","0.0","0","{""0"": 17772, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"94799","306","20000","0.050000000000000044","0.012546933302655817","-2.3340599472820758","0.0","0.0","0","{""0"": 17872, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"94899","306","20000","0.050000000000000044","0.013027604967355728","-2.3340599472820758","0.0","0.0","0","{""0"": 17972, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"94999","306","20000","0.050000000000000044","0.01234953618142754","-2.3340599472820758","0.0","0.0","0","{""0"": 18072, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"95099","306","20000","0.050000000000000044","0.01226110908202827","-2.3340599472820758","0.0","0.0","0","{""0"": 18172, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"95199","308","20000","0.050000000000000044","0.012500401916913689","-2.4102799492608757","0.0","0.0","0","{""0"": 18272, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"95299","308","20000","0.050000000000000044","0.01193959073163569","-2.4102799492608757","0.0","0.0","0","{""0"": 18372, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"95399","308","20000","0.050000000000000044","0.012026654724031687","-2.4102799492608757","0.0","0.0","0","{""0"": 18472, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"95499","308","20000","0.050000000000000044","0.011413399861194194","-2.4102799492608757","0.0","0.0","0","{""0"": 18572, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"95599","308","20000","0.050000000000000044","0.01135076066479087","-2.4102799492608757","0.0","0.0","0","{""0"": 18672, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"95699","308","20000","0.050000000000000044","0.011131473267450929","-2.4102799492608757","0.0","0.0","0","{""0"": 18772, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"95799","310","20000","0.050000000000000044","0.010428394470363856","-2.370589950447902","0.0","0.0","0","{""0"": 18872, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"95899","310","20000","0.050000000000000044","0.011402537277899683","-2.370589950447902","0.0","0.0","0","{""0"": 18972, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"95999","310","20000","0.050000000000000044","0.011132132974453271","-2.370589950447902","0.0","0.0","0","{""0"": 19072, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"96099","310","20000","0.050000000000000044","0.012622413355857134","-2.370589950447902","0.0","0.0","0","{""0"": 19172, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"96199","310","20000","0.050000000000000044","0.013076810948550701","-2.370589950447902","0.0","0.0","0","{""0"": 19272, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"96299","312","20000","0.050000000000000044","0.012825654791668058","-2.3722899498511105","0.0","0.0","0","{""0"": 19372, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"96399","312","20000","0.050000000000000044","0.012991207679733633","-2.3722899498511105","0.0","0.0","0","{""0"": 19472, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"96499","312","20000","0.050000000000000044","0.011550412438809872","-2.3722899498511105","0.0","0.0","0","{""0"": 19572, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
"96599","312","20000","0.050000000000000044","0.012350934105925263","-2.3722899498511105","0.0","0.0","0","{""0"": 19672, ""1"": 15461, ""2"": 17344, ""3"": 14331, ""4"": 19979, ""5"": 9812}","connected","100","0"
