global_step,episode_count,replay_size,epsilon,loss,mean_reward_100,expert_action_loss,expert_bc_weight,expert_replay_size,action_counts,connection_status
99,0,99,0.9984325,0.0,0.0,0.0,0.0,1526,"{""0"": 23, ""1"": 14, ""2"": 18, ""3"": 12, ""4"": 19, ""5"": 13}",connected
199,0,199,0.9968491666666667,0.0,0.0,0.0,0.0,1526,"{""0"": 46, ""1"": 38, ""2"": 27, ""3"": 25, ""4"": 31, ""5"": 32}",connected
299,0,299,0.9952658333333333,0.0,0.0,0.0,0.0,1526,"{""0"": 68, ""1"": 50, ""2"": 41, ""3"": 44, ""4"": 50, ""5"": 46}",connected
399,0,399,0.9936825,0.0,0.0,0.0,0.0,1526,"{""0"": 84, ""1"": 66, ""2"": 63, ""3"": 62, ""4"": 65, ""5"": 59}",connected
499,0,499,0.9920991666666666,0.0,0.0,0.0,0.0,1526,"{""0"": 103, ""1"": 84, ""2"": 76, ""3"": 80, ""4"": 80, ""5"": 76}",connected
599,0,599,0.9905158333333334,0.0,0.0,0.0,0.0,1526,"{""0"": 124, ""1"": 99, ""2"": 87, ""3"": 99, ""4"": 95, ""5"": 95}",connected
699,0,699,0.9889325,0.0,0.0,0.0,0.0,1526,"{""0"": 144, ""1"": 116, ""2"": 109, ""3"": 115, ""4"": 106, ""5"": 109}",connected
799,2,799,0.9873491666666667,0.0,-6.181853250600398,0.0,0.0,1526,"{""0"": 165, ""1"": 132, ""2"": 122, ""3"": 132, ""4"": 126, ""5"": 122}",connected
899,2,899,0.9857658333333333,0.0,-6.181853250600398,0.0,0.0,1526,"{""0"": 184, ""1"": 145, ""2"": 142, ""3"": 148, ""4"": 141, ""5"": 139}",connected
999,2,999,0.9841825,0.0,-6.181853250600398,0.0,0.0,1526,"{""0"": 206, ""1"": 163, ""2"": 159, ""3"": 165, ""4"": 150, ""5"": 156}",connected
1099,2,1099,0.9825991666666667,0.0,-6.181853250600398,0.0,0.0,1526,"{""0"": 221, ""1"": 184, ""2"": 177, ""3"": 181, ""4"": 167, ""5"": 169}",connected
1199,2,1199,0.9810158333333333,0.0,-6.181853250600398,0.0,0.0,1526,"{""0"": 238, ""1"": 201, ""2"": 192, ""3"": 202, ""4"": 185, ""5"": 181}",connected
1299,2,1299,0.9794325,0.0,-6.181853250600398,0.0,0.0,1526,"{""0"": 253, ""1"": 216, ""2"": 209, ""3"": 221, ""4"": 201, ""5"": 199}",connected
1399,2,1399,0.9778491666666667,0.0,-6.181853250600398,0.0,0.0,1526,"{""0"": 274, ""1"": 226, ""2"": 227, ""3"": 242, ""4"": 218, ""5"": 212}",connected
1499,4,1499,0.9762658333333334,0.0,-6.24755032628309,0.0,0.0,1526,"{""0"": 289, ""1"": 250, ""2"": 253, ""3"": 251, ""4"": 234, ""5"": 222}",connected
1599,4,1599,0.9746825,0.0,-6.24755032628309,0.0,0.0,1526,"{""0"": 306, ""1"": 270, ""2"": 267, ""3"": 271, ""4"": 247, ""5"": 238}",connected
1699,4,1699,0.9730991666666666,0.0,-6.24755032628309,0.0,0.0,1526,"{""0"": 327, ""1"": 282, ""2"": 280, ""3"": 283, ""4"": 268, ""5"": 259}",connected
1799,4,1799,0.9715158333333334,0.0,-6.24755032628309,0.0,0.0,1526,"{""0"": 344, ""1"": 297, ""2"": 294, ""3"": 300, ""4"": 286, ""5"": 278}",connected
1899,4,1899,0.9699325,0.0,-6.24755032628309,0.0,0.0,1526,"{""0"": 363, ""1"": 316, ""2"": 311, ""3"": 316, ""4"": 306, ""5"": 287}",connected
1999,4,1999,0.9683491666666667,0.0,-6.24755032628309,0.0,0.0,1526,"{""0"": 386, ""1"": 331, ""2"": 325, ""3"": 330, ""4"": 321, ""5"": 306}",connected
2099,4,2099,0.9667658333333333,0.024841268062591553,-6.24755032628309,0.0,0.0,1526,"{""0"": 406, ""1"": 350, ""2"": 337, ""3"": 344, ""4"": 335, ""5"": 327}",connected
2199,6,2199,0.9651825,0.02990121931885369,-6.587838165539627,0.0,0.0,1526,"{""0"": 435, ""1"": 374, ""2"": 342, ""3"": 357, ""4"": 355, ""5"": 336}",connected
2299,6,2299,0.9635991666666667,0.03126529525887842,-6.587838165539627,0.0,0.0,1526,"{""0"": 453, ""1"": 392, ""2"": 356, ""3"": 371, ""4"": 374, ""5"": 353}",connected
2399,6,2399,0.9620158333333333,0.0333240754250437,-6.587838165539627,0.0,0.0,1526,"{""0"": 474, ""1"": 407, ""2"": 366, ""3"": 394, ""4"": 391, ""5"": 367}",connected
2499,6,2499,0.9604325,0.03357757480465807,-6.587838165539627,0.0,0.0,1526,"{""0"": 489, ""1"": 418, ""2"": 383, ""3"": 412, ""4"": 416, ""5"": 381}",connected
2599,6,2599,0.9588491666666666,0.031591519069042985,-6.587838165539627,0.0,0.0,1526,"{""0"": 497, ""1"": 435, ""2"": 406, ""3"": 429, ""4"": 434, ""5"": 398}",connected
2699,6,2699,0.9572658333333334,0.03116410074173473,-6.587838165539627,0.0,0.0,1526,"{""0"": 511, ""1"": 454, ""2"": 417, ""3"": 439, ""4"": 453, ""5"": 425}",connected
2799,6,2799,0.9556825,0.027889558778260836,-6.587838165539627,0.0,0.0,1526,"{""0"": 526, ""1"": 466, ""2"": 429, ""3"": 460, ""4"": 473, ""5"": 445}",connected
2899,8,2899,0.9540991666666667,0.026216227280092427,-6.853521787386853,0.0,0.0,1526,"{""0"": 550, ""1"": 477, ""2"": 439, ""3"": 472, ""4"": 495, ""5"": 466}",connected
2999,8,2999,0.9525158333333333,0.025324747706763448,-6.853521787386853,0.0,0.0,1526,"{""0"": 560, ""1"": 492, ""2"": 467, ""3"": 493, ""4"": 507, ""5"": 480}",connected
3099,8,3099,0.9509325,0.021907894627074712,-6.853521787386853,0.0,0.0,1526,"{""0"": 578, ""1"": 504, ""2"": 486, ""3"": 508, ""4"": 536, ""5"": 487}",connected
3199,8,3199,0.9493491666666667,0.020307527469703927,-6.853521787386853,0.0,0.0,1526,"{""0"": 596, ""1"": 518, ""2"": 505, ""3"": 522, ""4"": 555, ""5"": 503}",connected
3299,8,3299,0.9477658333333333,0.020724639432737602,-6.853521787386853,0.0,0.0,1526,"{""0"": 611, ""1"": 544, ""2"": 518, ""3"": 542, ""4"": 567, ""5"": 517}",connected
3399,8,3399,0.9461825,0.022425031621824017,-6.853521787386853,0.0,0.0,1526,"{""0"": 628, ""1"": 555, ""2"": 532, ""3"": 561, ""4"": 585, ""5"": 538}",connected
3499,8,3499,0.9445991666666667,0.02469803771644365,-6.853521787386853,0.0,0.0,1526,"{""0"": 648, ""1"": 570, ""2"": 545, ""3"": 576, ""4"": 604, ""5"": 556}",connected
3599,10,3599,0.9430158333333334,0.025465427110902966,-6.9298198448494075,0.0,0.0,1526,"{""0"": 664, ""1"": 587, ""2"": 560, ""3"": 594, ""4"": 622, ""5"": 572}",connected
3699,10,3699,0.9414325,0.02739726413390599,-6.9298198448494075,0.0,0.0,1526,"{""0"": 675, ""1"": 598, ""2"": 578, ""3"": 609, ""4"": 651, ""5"": 588}",connected
3799,10,3799,0.9398491666666666,0.025809751288034023,-6.9298198448494075,0.0,0.0,1526,"{""0"": 689, ""1"": 619, ""2"": 586, ""3"": 632, ""4"": 670, ""5"": 603}",connected
3899,10,3899,0.9382658333333334,0.02741207255399786,-6.9298198448494075,0.0,0.0,1526,"{""0"": 700, ""1"": 630, ""2"": 605, ""3"": 650, ""4"": 689, ""5"": 625}",connected
3999,10,3999,0.9366825,0.027147957967827097,-6.9298198448494075,0.0,0.0,1526,"{""0"": 725, ""1"": 641, ""2"": 631, ""3"": 662, ""4"": 699, ""5"": 641}",connected
4099,10,4099,0.9350991666666667,0.024102505856426433,-6.9298198448494075,0.0,0.0,1526,"{""0"": 739, ""1"": 659, ""2"": 651, ""3"": 677, ""4"": 717, ""5"": 656}",connected
4199,10,4199,0.9335158333333333,0.02164109263103455,-6.9298198448494075,0.0,0.0,1526,"{""0"": 760, ""1"": 674, ""2"": 670, ""3"": 691, ""4"": 732, ""5"": 672}",connected
4299,10,4299,0.9319325,0.016479153183754532,-6.9298198448494075,0.0,0.0,1526,"{""0"": 775, ""1"": 693, ""2"": 692, ""3"": 702, ""4"": 748, ""5"": 689}",connected
4399,10,4399,0.9303491666666667,0.015810144643764942,-6.9298198448494075,0.0,0.0,1526,"{""0"": 788, ""1"": 713, ""2"": 705, ""3"": 717, ""4"": 769, ""5"": 707}",connected
4499,10,4499,0.9287658333333333,0.015555470453109592,-6.9298198448494075,0.0,0.0,1526,"{""0"": 806, ""1"": 728, ""2"": 718, ""3"": 736, ""4"": 793, ""5"": 718}",connected
4599,10,4599,0.9271825,0.014488297894131393,-6.9298198448494075,0.0,0.0,1526,"{""0"": 826, ""1"": 736, ""2"": 727, ""3"": 761, ""4"": 818, ""5"": 731}",connected
4699,12,4699,0.9255991666666666,0.013631510547129437,-7.750376817227031,0.0,0.0,1526,"{""0"": 847, ""1"": 751, ""2"": 743, ""3"": 773, ""4"": 840, ""5"": 745}",connected
4799,12,4799,0.9240158333333334,0.011813375382917001,-7.750376817227031,0.0,0.0,1526,"{""0"": 865, ""1"": 762, ""2"": 767, ""3"": 784, ""4"": 859, ""5"": 762}",connected
4899,12,4899,0.9224325,0.010882336377399042,-7.750376817227031,0.0,0.0,1526,"{""0"": 875, ""1"": 774, ""2"": 789, ""3"": 804, ""4"": 872, ""5"": 785}",connected
4999,12,4999,0.9208491666666667,0.010308705932693556,-7.750376817227031,0.0,0.0,1526,"{""0"": 900, ""1"": 781, ""2"": 804, ""3"": 825, ""4"": 892, ""5"": 797}",connected
5099,12,5099,0.9192658333333333,0.01185205129440874,-7.750376817227031,0.0,0.0,1526,"{""0"": 916, ""1"": 798, ""2"": 824, ""3"": 843, ""4"": 903, ""5"": 815}",connected
5199,12,5199,0.9176825,0.01063698405167088,-7.750376817227031,0.0,0.0,1526,"{""0"": 931, ""1"": 812, ""2"": 844, ""3"": 860, ""4"": 925, ""5"": 827}",connected
5299,12,5299,0.9160991666666667,0.009505178318358959,-7.750376817227031,0.0,0.0,1526,"{""0"": 954, ""1"": 825, ""2"": 866, ""3"": 878, ""4"": 943, ""5"": 833}",connected
5399,14,5399,0.9145158333333333,0.009227139838039876,-7.6661942615838985,0.0,0.0,1526,"{""0"": 970, ""1"": 836, ""2"": 890, ""3"": 893, ""4"": 963, ""5"": 847}",connected
5499,14,5499,0.9129325,0.006498255527112633,-7.6661942615838985,0.0,0.0,1526,"{""0"": 981, ""1"": 857, ""2"": 903, ""3"": 906, ""4"": 988, ""5"": 864}",connected
5599,14,5599,0.9113491666666667,0.005768886299338191,-7.6661942615838985,0.0,0.0,1526,"{""0"": 1002, ""1"": 872, ""2"": 924, ""3"": 923, ""4"": 999, ""5"": 879}",connected
5699,14,5699,0.9097658333333334,0.0048179441352840515,-7.6661942615838985,0.0,0.0,1526,"{""0"": 1012, ""1"": 888, ""2"": 933, ""3"": 942, ""4"": 1031, ""5"": 893}",connected
5799,14,5799,0.9081825,0.0041325781471095975,-7.6661942615838985,0.0,0.0,1526,"{""0"": 1032, ""1"": 901, ""2"": 952, ""3"": 957, ""4"": 1050, ""5"": 907}",connected
5899,14,5899,0.9065991666666666,0.00369487534975633,-7.6661942615838985,0.0,0.0,1526,"{""0"": 1045, ""1"": 913, ""2"": 974, ""3"": 973, ""4"": 1075, ""5"": 919}",connected
5999,14,5999,0.9050158333333334,0.0034789910982362927,-7.6661942615838985,0.0,0.0,1526,"{""0"": 1063, ""1"": 928, ""2"": 989, ""3"": 983, ""4"": 1096, ""5"": 940}",connected
6099,14,6099,0.9034325,0.007764519929187372,-7.6661942615838985,0.0,0.0,1526,"{""0"": 1075, ""1"": 941, ""2"": 1007, ""3"": 1000, ""4"": 1123, ""5"": 953}",connected
6199,16,6199,0.9018491666666667,0.009510077086742967,-7.751138015737524,0.0,0.0,1526,"{""0"": 1091, ""1"": 964, ""2"": 1025, ""3"": 1010, ""4"": 1139, ""5"": 970}",connected
6299,16,6299,0.9002658333333333,0.010294928911607713,-7.751138015737524,0.0,0.0,1526,"{""0"": 1110, ""1"": 978, ""2"": 1042, ""3"": 1022, ""4"": 1165, ""5"": 982}",connected
6399,16,6399,0.8986825,0.01073071946389973,-7.751138015737524,0.0,0.0,1526,"{""0"": 1124, ""1"": 999, ""2"": 1061, ""3"": 1034, ""4"": 1183, ""5"": 998}",connected
6499,16,6499,0.8970991666666667,0.006662473706528544,-7.751138015737524,0.0,0.0,1526,"{""0"": 1138, ""1"": 1011, ""2"": 1072, ""3"": 1050, ""4"": 1209, ""5"": 1019}",connected
6599,16,6599,0.8955158333333333,0.005023419025819749,-7.751138015737524,0.0,0.0,1526,"{""0"": 1156, ""1"": 1020, ""2"": 1088, ""3"": 1063, ""4"": 1238, ""5"": 1034}",connected
6699,16,6699,0.8939325,0.004347306612180546,-7.751138015737524,0.0,0.0,1526,"{""0"": 1165, ""1"": 1039, ""2"": 1113, ""3"": 1079, ""4"": 1257, ""5"": 1046}",connected
6799,16,6799,0.8923491666666666,0.00397837697295472,-7.751138015737524,0.0,0.0,1526,"{""0"": 1177, ""1"": 1059, ""2"": 1124, ""3"": 1094, ""4"": 1280, ""5"": 1065}",connected
6899,18,6899,0.8907658333333334,0.0037704011262394486,-7.812991258843492,0.0,0.0,1526,"{""0"": 1196, ""1"": 1084, ""2"": 1140, ""3"": 1109, ""4"": 1300, ""5"": 1070}",connected
6999,18,6999,0.8891825,0.003703990272479132,-7.812991258843492,0.0,0.0,1526,"{""0"": 1212, ""1"": 1095, ""2"": 1153, ""3"": 1121, ""4"": 1332, ""5"": 1086}",connected
7099,18,7099,0.8875991666666667,0.007143086928408593,-7.812991258843492,0.0,0.0,1526,"{""0"": 1226, ""1"": 1119, ""2"": 1174, ""3"": 1134, ""4"": 1349, ""5"": 1097}",connected
7199,18,7199,0.8860158333333333,0.00811841138987802,-7.812991258843492,0.0,0.0,1526,"{""0"": 1247, ""1"": 1134, ""2"": 1193, ""3"": 1148, ""4"": 1364, ""5"": 1113}",connected
7299,18,7299,0.8844325,0.008692861549789085,-7.812991258843492,0.0,0.0,1526,"{""0"": 1263, ""1"": 1148, ""2"": 1215, ""3"": 1163, ""4"": 1382, ""5"": 1128}",connected
7399,18,7399,0.8828491666666667,0.00884493850870058,-7.812991258843492,0.0,0.0,1526,"{""0"": 1279, ""1"": 1164, ""2"": 1235, ""3"": 1175, ""4"": 1401, ""5"": 1145}",connected
7499,18,7499,0.8812658333333333,0.005437598711578176,-7.812991258843492,0.0,0.0,1526,"{""0"": 1297, ""1"": 1180, ""2"": 1252, ""3"": 1191, ""4"": 1421, ""5"": 1158}",connected
7599,20,7599,0.8796825,0.004495648989686743,-7.848887329967693,0.0,0.0,1526,"{""0"": 1312, ""1"": 1202, ""2"": 1261, ""3"": 1206, ""4"": 1445, ""5"": 1173}",connected
