global_step,episode_count,replay_size,epsilon,loss,mean_reward_100,action_counts,connection_status
99,0,99,0.9984325,0.0,0.0,"{""0"": 22, ""1"": 13, ""2"": 19, ""3"": 13, ""4"": 19, ""5"": 13}",connected
199,0,199,0.9968491666666667,0.0,0.0,"{""0"": 45, ""1"": 38, ""2"": 28, ""3"": 26, ""4"": 31, ""5"": 31}",connected
299,0,299,0.9952658333333333,0.0,0.0,"{""0"": 66, ""1"": 50, ""2"": 43, ""3"": 45, ""4"": 50, ""5"": 45}",connected
399,0,399,0.9936825,0.0,0.0,"{""0"": 81, ""1"": 68, ""2"": 65, ""3"": 63, ""4"": 64, ""5"": 58}",connected
499,0,499,0.9920991666666666,0.0,0.0,"{""0"": 102, ""1"": 85, ""2"": 77, ""3"": 81, ""4"": 79, ""5"": 75}",connected
599,0,599,0.9905158333333334,0.0,0.0,"{""0"": 122, ""1"": 100, ""2"": 89, ""3"": 100, ""4"": 94, ""5"": 94}",connected
699,0,699,0.9889325,0.0,0.0,"{""0"": 141, ""1"": 116, ""2"": 111, ""3"": 116, ""4"": 107, ""5"": 108}",connected
799,0,799,0.9873491666666667,0.0,0.0,"{""0"": 159, ""1"": 133, ""2"": 124, ""3"": 133, ""4"": 126, ""5"": 124}",connected
899,0,899,0.9857658333333333,0.0,0.0,"{""0"": 180, ""1"": 145, ""2"": 143, ""3"": 150, ""4"": 140, ""5"": 141}",connected
999,0,999,0.9841825,0.0,0.0,"{""0"": 200, ""1"": 164, ""2"": 161, ""3"": 167, ""4"": 149, ""5"": 158}",connected
1099,0,1099,0.9825991666666667,0.0,0.0,"{""0"": 216, ""1"": 185, ""2"": 178, ""3"": 182, ""4"": 167, ""5"": 171}",connected
1199,0,1199,0.9810158333333333,0.0,0.0,"{""0"": 232, ""1"": 202, ""2"": 193, ""3"": 203, ""4"": 186, ""5"": 183}",connected
1299,0,1299,0.9794325,0.0,0.0,"{""0"": 247, ""1"": 216, ""2"": 210, ""3"": 225, ""4"": 201, ""5"": 200}",connected
1399,0,1399,0.9778491666666667,0.0,0.0,"{""0"": 268, ""1"": 227, ""2"": 231, ""3"": 243, ""4"": 217, ""5"": 213}",connected
1499,2,1499,0.9762658333333334,0.0,-8.415312258759513,"{""0"": 284, ""1"": 249, ""2"": 254, ""3"": 255, ""4"": 234, ""5"": 223}",connected
1599,2,1599,0.9746825,0.0,-8.415312258759513,"{""0"": 300, ""1"": 269, ""2"": 270, ""3"": 272, ""4"": 248, ""5"": 240}",connected
1699,2,1699,0.9730991666666666,0.0,-8.415312258759513,"{""0"": 321, ""1"": 282, ""2"": 281, ""3"": 285, ""4"": 268, ""5"": 262}",connected
1799,2,1799,0.9715158333333334,0.0,-8.415312258759513,"{""0"": 338, ""1"": 296, ""2"": 295, ""3"": 303, ""4"": 288, ""5"": 279}",connected
1899,2,1899,0.9699325,0.0,-8.415312258759513,"{""0"": 357, ""1"": 316, ""2"": 312, ""3"": 317, ""4"": 307, ""5"": 290}",connected
1999,2,1999,0.9683491666666667,0.0,-8.415312258759513,"{""0"": 380, ""1"": 332, ""2"": 327, ""3"": 331, ""4"": 321, ""5"": 308}",connected
2099,2,2099,0.9667658333333333,0.004180059664358851,-8.415312258759513,"{""0"": 399, ""1"": 355, ""2"": 337, ""3"": 354, ""4"": 330, ""5"": 324}",connected
2199,2,2199,0.9651825,0.004191790041950298,-8.415312258759513,"{""0"": 423, ""1"": 369, ""2"": 347, ""3"": 368, ""4"": 351, ""5"": 341}",connected
2299,2,2299,0.9635991666666667,0.0043952831125352535,-8.415312258759513,"{""0"": 444, ""1"": 386, ""2"": 360, ""3"": 387, ""4"": 366, ""5"": 356}",connected
